subset_size,repeat,train_MSE,train_correlation,test_MSE,test_correlation
5000,0,0.011999092914183707,0.7487507022857657,0.012059156501814721,0.7522951346656476
5000,1,0.01148417894428582,0.7530534935976078,0.011342510945269644,0.759675129424809
5000,2,0.012008998790329817,0.7493526890899453,0.011885392436678056,0.7562313902555303
5000,3,0.01151857388586888,0.7536617377847896,0.011472036191518015,0.7590743555135763
5000,4,0.012131957170636067,0.746090168109987,0.011909336834412141,0.7539949495621712
5000,5,0.010868837466963538,0.7644401995139541,0.010728599218789301,0.7701760409593721
5000,6,0.012342538018103796,0.7415003115749141,0.012094522820037814,0.7485815145825039
5000,7,0.012332910516637175,0.7419767627824274,0.012102559156708385,0.7496060547699924
5000,8,0.011895878080889126,0.7483554776402082,0.011752764711900022,0.7546407479157526
5000,9,0.010834942532974106,0.7760794923958755,0.010403518920315057,0.7874385373781104
10000,0,0.012012343246349328,0.7465122290831734,0.011960586629525875,0.751582986131334
10000,1,0.01175559000299365,0.7504329436087254,0.011624036010748849,0.7569307127006351
10000,2,0.011662156421121506,0.7526465132916909,0.011516486602274396,0.7598107568883102
10000,3,0.011962016685689515,0.7472567411504494,0.011873136791015206,0.7538825536391286
10000,4,0.011867250146390658,0.7479954678656747,0.01164860126023306,0.7559054945403532
10000,5,0.011464348769442068,0.7549156004647665,0.011302360766107557,0.7615062410669591
10000,6,0.012017027916477884,0.7462544332777739,0.01185216368876569,0.7521905402165152
10000,7,0.011994939083233387,0.7465284306401346,0.011821371892024006,0.7536649299390462
10000,8,0.01164924434419231,0.7520882496691289,0.011505158445408519,0.7584659786759288
10000,9,0.010903891439209662,0.7716780950158674,0.01058742687354137,0.7817694504384943
50000,0,0.011095037397180676,0.7694684297283026,0.011473870248197784,0.7653461736928965
50000,1,0.011606884422978487,0.7523426401555852,0.011477710777535833,0.7587428046950548
50000,2,0.011947486086549112,0.758624909438234,0.011667816392542286,0.7673743053759332
50000,3,0.011994565983373548,0.7605474502803762,0.011782608270916485,0.7695128071626945
50000,4,0.009751139517227902,0.7976081441460801,0.009666859581114809,0.8044642520331692
50000,5,0.010786206180236431,0.774265352884904,0.010780288801970917,0.7784389305252596
50000,6,0.011528595878104887,0.7666453666036743,0.011820672298731343,0.7648208810886514
50000,7,0.01136748561488238,0.7675348787806406,0.011300871324069848,0.7724507443270704
50000,8,0.011434026485485287,0.7652443710475135,0.011227400783294615,0.7712607977965441
50000,9,0.011254867405634826,0.767439170769686,0.011266123036013003,0.7711364291398054
100000,0,0.010800949276318717,0.7756449147478837,0.010947840751227112,0.7756609365446506
100000,1,0.010630379843526225,0.7836393705899918,0.010313467411912127,0.792271067522002
100000,2,0.010133023113819629,0.7906043546727429,0.009562125114149429,0.803397252472765
100000,3,0.011842062081639137,0.7488260328487863,0.011682197899163813,0.7558628136590738
100000,4,0.009609499408484875,0.8004862155542033,0.00946628964523414,0.8086421189993634
100000,5,0.010605744634266594,0.7819061443267006,0.01055120861156828,0.7868065349290547
100000,6,0.010951882193399029,0.773235765549462,0.010798009044024786,0.7780867118295476
100000,7,0.0096570787798797,0.7980133729660314,0.009701673308279389,0.803476980700361
100000,8,0.010826923897164274,0.7768284817883115,0.010617522835304564,0.7846866400402084
100000,9,0.009657078028369898,0.7980133848271812,0.009701672703365572,0.8034769886655322
